flight_id,A_i,S_i,U_i,original_gate,S,L,XL,B,flight_number
276,708,97,712,28,1,0,0,40,ABL793/794
277,796,149,802,28,0,1,0,80,SJX782/703
278,951,189,965,28,0,1,0,80,EVA258/809
279,1145,70,1149,28,0,1,0,80,CRK284/285
280,1235,70,1242,28,0,1,0,80,CRK282/283
281,1331,30,1333,28,0,1,0,80,SJX792
282,1396,30,1399,28,1,0,0,40,EVA810
283,55,80,60,29,1,0,0,40,CEB310/311
284,193,267,197,29,1,0,0,40,SJX009/711
285,480,60,478,29,0,1,0,80,SJX741
286,700,60,691,29,1,0,0,40,CAL104
287,780,70,783,29,1,0,0,40,CAL904/521
288,840,90,853,29,1,0,0,40,CES5007/5008
289,944,76,950,29,1,0,0,40,CAL153/919
290,1074,30,1093,29,0,1,0,80,CAL1806
291,1226,59,1231,29,1,0,0,40,CES5005/5006
292,1292,30,1300,29,1,0,0,40,CAL864
293,1380,30,1389,29,0,1,0,80,CAL836
294,318,167,325,30,1,0,0,40,CAL054/753
295,530,60,529,30,1,0,0,40,UAL872
296,668,82,675,30,1,0,0,40,CCA149/150
297,770,60,768,30,0,1,0,80,SJX745
298,846,99,853,30,1,0,0,40,CAL155/186
299,987,68,990,30,0,1,0,80,CSZ9073/9074
300,1103,307,1116,30,1,0,0,40,CAL754/022
301,355,60,346,31,1,0,0,40,CAL278
302,445,30,450,31,1,0,0,40,CAL838
303,460,60,461,31,1,0,0,40,MDA991
304,595,80,606,31,0,1,0,80,CES2009/2010
305,545,60,541,31,0,1,0,80,EVA118
306,722,158,728,31,0,1,0,80,CAL107/793
307,895,105,898,31,1,0,0,40,CAL706/116
308,1002,68,1006,31,1,0,0,40,CES5001/5002
309,1105,30,1111,31,0,1,0,80,EVA117
310,1195,165,1179,31,1,0,0,40,CAL195/837
311,350,60,351,32,1,0,0,40,CAL110
312,435,60,429,32,1,0,0,40,CAL156
313,540,60,545,32,1,0,0,40,JAL802
314,650,100,657,32,0,1,0,80,CSN3087/3088
315,768,102,775,32,0,1,0,80,CAL279/194
316,910,30,918,32,0,1,0,80,EVA868
317,991,74,1001,32,1,0,0,40,SIA878/879
318,1155,30,1162,32,1,0,0,40,CAL522
319,1230,30,1238,32,1,0,0,40,CAL105
320,1375,60,1374,32,1,0,0,40,CAL053
321,213,60,222,33,1,0,0,40,CAL031
322,390,60,383,33,0,1,0,80,CAL154
323,475,60,480,33,0,1,0,80,CAL100
324,618,52,624,33,1,0,0,40,CXA887/888
325,715,145,721,33,0,1,0,80,CAL151/172
326,918,117,925,33,0,1,0,80,CAL512/150
327,1077,223,1096,33,0,1,0,80,THY024/025
328,1287,143,1303,33,0,1,0,80,CAL504/008
329,70,65,76,34,1,0,0,40,SIA034/034
330,211,30,209,34,1,0,0,40,UAL853
331,314,30,324,34,1,0,0,40,CAL052
332,420,60,436,34,0,1,0,80,CAL120
333,515,60,512,34,1,0,0,40,DAL068
334,610,75,612,34,1,0,0,40,CXA879/880
335,692,88,697,34,1,0,0,40,CCA185/186
336,810,30,793,34,1,0,0,40,MDA992
337,820,60,833,34,0,1,0,80,CAL108
338,919,30,921,34,0,1,0,80,EVA708
339,1000,30,1015,34,1,0,0,40,UAE366
340,1140,30,1145,34,1,0,0,40,CAL131
341,1267,30,1274,34,1,0,0,40,CAL173
342,1370,60,1379,34,1,0,0,40,UAE367
343,257,30,261,35,1,0,0,40,SJX011
344,360,60,360,35,1,0,0,40,SJX781
345,460,60,458,35,1,0,0,40,CAL501
346,550,60,553,35,0,1,0,80,EVA116
347,631,79,642,35,0,1,0,80,CSN3023/3024
348,795,60,794,35,1,0,0,40,UAL852
349,884,141,887,35,1,0,0,40,CAL157/122
350,1030,90,1033,35,0,1,0,80,CES2087/2088
351,1209,30,1212,35,1,0,0,40,DAL069
352,1350,60,-54,35,0,1,0,80,CAL004
353,335,30,291,36,0,1,0,80,CAL003
354,390,60,404,36,1,0,0,40,HVN579
355,496,89,501,36,1,0,0,40,THY124/125
356,656,129,662,36,0,1,0,80,CHH7987/7988
357,817,73,806,36,1,0,0,40,SJA876/877
358,957,118,970,36,0,1,0,80,CSN3095/3096
359,1122,30,1129,36,0,1,0,80,SJX772
360,1200,30,1216,36,0,1,0,80,CAL528
361,1299,30,1307,36,1,0,0,40,EVA806
362,1365,30,1368,36,0,1,0,80,CAL109
363,390,60,398,37,1,0,0,40,CAL511
364,480,60,489,37,1,0,0,40,CAL152
365,548,102,555,37,0,1,0,80,CES2981/2982
366,668,92,684,37,1,0,0,40,JAL8663/8664
367,779,111,782,37,0,1,0,80,CSN3097/3098
368,954,30,952,37,0,1,0,80,SJX712
369,1082,30,1102,37,1,0,0,40,UAL871
370,1235,30,1237,37,1,0,0,40,JAL809
371,1326,30,1333,37,1,0,0,40,CAL117
372,405,60,410,38,1,0,0,40,HVN571
373,480,60,489,38,1,0,0,40,TTW206
374,907,30,917,38,0,1,0,80,TTW235
375,1102,38,1108,38,1,0,0,40,VJC842/843
376,1316,30,1322,38,1,0,0,40,SJX236
377,415,60,427,39,0,1,0,80,CAL188
378,646,269,881,39,1,0,0,40,AXM1510/1511
379,698,157,710,39,0,1,0,80,TTW241/262
380,934,106,946,39,1,0,0,40,TLM399/399
381,1187,53,1195,39,1,0,0,40,VJC942/943
382,1380,30,1378,39,0,1,0,80,THA636
383,-50,60,-46,40,0,1,0,80,TTW216
384,407,58,413,40,0,1,0,80,TVJ566/566
385,350,60,349,41,0,1,0,80,TTW230
386,425,60,418,41,0,1,0,80,SJX201
387,784,131,797,41,1,0,0,40,TTW211/212
388,939,161,945,41,1,0,0,40,TTW207/232
389,1272,30,1276,41,0,1,0,80,TTW229
390,335,60,330,42,0,1,0,80,TTW200
391,420,60,427,42,0,0,1,1000,SJX233
392,854,71,863,42,1,0,0,40,TVJ567/567
393,1293,30,1299,42,1,0,0,40,TTW213
394,360,60,361,43,0,1,0,80,TTW236
395,480,30,454,43,1,0,0,40,TTW217
396,830,60,830,43,0,1,0,80,CAL7843
397,1305,30,1317,43,0,1,0,80,TTW233
398,320,60,316,44,1,0,0,40,EVA134
399,468,67,474,44,0,1,0,80,TLM398/398
400,893,117,908,44,0,1,0,80,SJX716/791
401,1300,30,1370,44,1,0,0,40,HVN570
402,1370,30,1375,44,0,1,0,80,EVA858
403,355,60,351,45,1,0,0,40,EVA166
404,430,60,440,45,0,1,0,80,EVA106
405,758,202,767,45,1,0,0,40,SJX202/205
406,1278,30,1278,45,0,1,0,80,HVN578
407,1353,30,1361,45,1,0,0,40,SJX746
408,415,60,416,46,1,0,0,40,THA637
409,818,167,830,46,0,1,0,80,EVA157/186
410,1251,30,1258,46,1,0,0,40,CAL7846
411,357,43,370,47,1,0,0,40,VJC840/841
412,965,30,984,47,0,1,0,80,EVA165
413,1295,30,1306,47,0,1,0,80,EVA386
414,377,213,390,48,0,1,0,80,EVA382/255
415,802,108,812,48,0,1,0,80,EVA852/102
416,1021,30,1027,48,1,0,0,40,EVA197
417,1355,30,1362,48,1,0,0,40,EVA766
418,450,60,477,49,1,0,0,40,EVA132
419,1305,30,1315,49,0,1,0,80,UIA188
420,384,236,397,50,0,1,0,80,EVA088/201
421,335,60,322,50,0,1,0,80,EVA158
422,1299,30,1306,50,0,1,0,80,
423,385,60,384,51,1,0,0,40,EVA721
424,480,60,499,51,1,0,0,40,EVA257
425,490,60,509,51,1,0,0,40,EVA198
426,1336,30,1341,51,1,0,0,40,EVA315
427,390,60,393,52,1,0,0,40,SJX704
428,490,60,509,52,0,1,0,80,EVA170
