flight_id,A_i,S_i,U_i,original_gate,S,L,XL,B
354,390,60,404,36,1,0,0,40
355,496,89,501,36,1,0,0,40
356,656,129,662,36,0,1,0,80
357,817,73,806,36,1,0,0,40
358,957,118,970,36,0,1,0,80
359,1122,30,1129,36,0,1,0,80
360,1200,30,1216,36,0,1,0,80
361,1299,30,1307,36,1,0,0,40
362,1365,30,1368,36,0,1,0,80
363,390,60,398,37,1,0,0,40
364,480,60,489,37,1,0,0,40
365,548,102,555,37,0,1,0,80
366,668,92,684,37,1,0,0,40
367,779,111,782,37,0,1,0,80
368,954,30,952,37,0,1,0,80
369,1082,30,1102,37,1,0,0,40
370,1235,30,1237,37,1,0,0,40
371,1326,30,1333,37,1,0,0,40
372,405,60,410,38,1,0,0,40
373,480,60,489,38,1,0,0,40
374,907,30,917,38,0,1,0,80
375,1102,38,1108,38,1,0,0,40
376,1316,30,1322,38,1,0,0,40
377,415,60,427,39,0,1,0,80
378,646,269,881,39,1,0,0,40
379,698,157,710,39,0,1,0,80
380,934,106,946,39,1,0,0,40
381,1187,53,1195,39,1,0,0,40
382,1380,30,1378,39,0,1,0,80
383,-50,60,-46,40,0,1,0,80
384,407,58,413,40,0,1,0,80
385,350,60,349,41,0,1,0,80
386,425,60,418,41,0,1,0,80
387,784,131,797,41,1,0,0,40
388,939,161,945,41,1,0,0,40
389,1272,30,1276,41,0,1,0,80
390,335,60,330,42,0,1,0,80
391,420,60,427,42,0,0,1,1000
392,854,71,863,42,1,0,0,40
393,1293,30,1299,42,1,0,0,40
394,360,60,361,43,0,1,0,80
395,480,30,454,43,1,0,0,40
396,830,60,830,43,0,1,0,80
397,1305,30,1317,43,0,1,0,80
398,320,60,316,44,1,0,0,40
399,468,67,474,44,0,1,0,80
400,893,117,908,44,0,1,0,80
401,1300,30,1370,44,1,0,0,40
402,1370,30,1375,44,0,1,0,80
403,355,60,351,45,1,0,0,40
404,430,60,440,45,0,1,0,80
405,758,202,767,45,1,0,0,40
406,1278,30,1278,45,0,1,0,80
407,1353,30,1361,45,1,0,0,40
408,415,60,416,46,1,0,0,40
409,818,167,830,46,0,1,0,80
410,1251,30,1258,46,1,0,0,40
411,357,43,370,47,1,0,0,40
412,965,30,984,47,0,1,0,80
413,1295,30,1306,47,0,1,0,80
414,377,213,390,48,0,1,0,80
415,802,108,812,48,0,1,0,80
416,1021,30,1027,48,1,0,0,40
417,1355,30,1362,48,1,0,0,40
418,450,60,477,49,1,0,0,40
419,1305,30,1315,49,0,1,0,80
420,384,236,397,50,0,1,0,80
421,335,60,322,50,0,1,0,80
422,1299,30,1306,50,0,1,0,80
423,385,60,384,51,1,0,0,40
424,480,60,499,51,1,0,0,40
425,490,60,509,51,1,0,0,40
426,1336,30,1341,51,1,0,0,40
427,390,60,393,52,1,0,0,40
428,490,60,509,52,0,1,0,80
